region_id,usdprice
Aden City_Aden,7.93971169977925
Al Bayda City_Al Bayda,8.216808318372232
Al Ghaidha_Al Maharah,8.673320123076923
Al Hazum_Al Jawf,8.380142699545749
Al Jabeen_Raymah,7.219768367989918
Alduhamih_Al Hudaydah,5.686673412698413
Alsuail_Hajjah,6.11915327510917
Amran City_Amran,8.280637190558434
Central Ataq_Shabwah,9.516432888888888
Dhamar City_Dhamar,8.401217146282974
Haradh Town_Hajjah,9.902745954692556
Ibb City_Ibb,5.955602240717029
Jihana Almarkazi_Sana'a,7.344414267676767
Mahweet City_Al Mahwit,5.7417942659105226
Marib City_Marib,9.88589893148963
Mukalla City_Hadramaut,9.996227898763978
Sana'a City_Amanat Al Asimah,6.473177582292849
Sayoun City_Hadramaut,9.545826705276706
Soqatra (Hudaibo)_Socotra,8.143994428969359
Taiz City_Taizz,8.545552933909821
Zungubar City_Abyan,8.184047815230961
